Plan or Actuals,Activity Type,Independent Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week  Commencing Date,Activity Count,Plan Type
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 21 ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Elective,,,Non-Cancer,15/06/2020, 21 ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,Opened cancer access to St A 2 weeks ago: numbers for diagnostics & elective will increase from w/c 22nd June in line with trajectory as more patients complete 14 day isolation; SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 51 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,Opened cancer access to St A 2 weeks ago: numbers for diagnostics & elective will increase from w/c 22nd June in line with trajectory as more patients complete 14 day isolation; SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Elective,,,Non-Cancer,15/06/2020, 41 ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,Opened cancer access to St A 2 weeks ago: numbers for diagnostics & elective will increase from w/c 22nd June in line with trajectory as more patients complete 14 day isolation; SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,Opened cancer access to St A 2 weeks ago: numbers for diagnostics & elective will increase from w/c 22nd June in line with trajectory as more patients complete 14 day isolation; SGUH team have now taken over endoscopy bookings from ISP to increase patient bookings,Elective,,,Cancer,15/06/2020, 8 ,Actuals
Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,"NHS Outpatients starts w/c 22nd June 2020; will be using 3 theatres fully (Mon-Friday) from w/c 22nd June ( 1 x paeds list
 2 x plastics (cancer)
2 x Urology (cancer)
1 x pain
3 x Breast (cancer), 1 x plastics, 2 x general surgery
2 x paeds oral, 2 x gen surg",Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 177 ,Actuals
Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,"NHS Outpatients starts w/c 22nd June 2020; will be using 3 theatres fully (Mon-Friday) from w/c 22nd June ( 1 x paeds list
 2 x plastics (cancer)
2 x Urology (cancer)
1 x pain
3 x Breast (cancer), 1 x plastics, 2 x general surgery
2 x paeds oral, 2 x gen surg",Elective,,,Non-Cancer,15/06/2020, 51 ,Actuals
Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,"NHS Outpatients starts w/c 22nd June 2020; will be using 3 theatres fully (Mon-Friday) from w/c 22nd June ( 1 x paeds list
 2 x plastics (cancer)
2 x Urology (cancer)
1 x pain
3 x Breast (cancer), 1 x plastics, 2 x general surgery
2 x paeds oral, 2 x gen surg",Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,"NHS Outpatients starts w/c 22nd June 2020; will be using 3 theatres fully (Mon-Friday) from w/c 22nd June ( 1 x paeds list
 2 x plastics (cancer)
2 x Urology (cancer)
1 x pain
3 x Breast (cancer), 1 x plastics, 2 x general surgery
2 x paeds oral, 2 x gen surg",Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,Counted in Surrey STP's return but utilised solely by ESTH,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 97 ,Actuals
Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,Counted in Surrey STP's return but utilised solely by ESTH,Elective,,,Non-Cancer,15/06/2020, 35 ,Actuals
Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,Counted in Surrey STP's return but utilised solely by ESTH,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,Counted in Surrey STP's return but utilised solely by ESTH,Elective,,,Cancer,15/06/2020, 4 ,Actuals
Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,Will follow-up locally with ISP to ensure activity submitted,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020, 45 ,Actuals
Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,Will follow-up locally with ISP to ensure activity submitted,Elective,,,Non-Cancer,15/06/2020, 26 ,Actuals
Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,Will follow-up locally with ISP to ensure activity submitted,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,Will follow-up locally with ISP to ensure activity submitted,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 4 ,Actuals
Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 1 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,15/06/2020, 22 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Cancer,15/06/2020, -   ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,15/06/2020, 4 ,Actuals
Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Elective,,,Non-Cancer,15/06/2020, 20 ,Actuals
Actuals,Normal,Bupa Cromwell Hospital (Bupa Group),North West London STP,,Daycase,,,Non-Cancer,15/06/2020, -   ,Actuals
