Plan Or Actual,Region,STP,ISP_Site,Activity_Type_1,Activity_Type_2,Activity_Type_3,POD,Specialty_(TFC),Diagnostic_Modality,How_will_this_activity_be_delivered?,Please_provide_details_of_your_plan_for_service_delivery ,Further_Detail,NHS_Referring_Trust,Week Commencing Date,Activity Count,Postcode,Lat,Lon,Week Index
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Complex,Elective,102: Transplantation surgery,,,as per previously submitted plan,Submitted by London Renal Network,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,03/08/2020,0,SW19 5NX,51.43576,-0.22358,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Urgent,Non-Cancer,Routine,Elective,502: Gynaecology,,,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,3,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Urgent,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,COMPUTERISED TOMOGRAPHY (CT),Service will be wholly staffed by independent sector staff,Service will be supplemented by NHS staff as required,Radiology - will be reported by NHS Staff.,CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,1,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Urgent,Cancer,Routine,Diagnostics,104: Colorectal surgery,ENDOSCOPY,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,"Patients will be scheduled and confirmed by IS staff, including pre-assessment and covid swab. ",CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,2,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,104: Colorectal surgery,ENDOSCOPY,Service will be wholly staffed by independent sector staff,Service will be supplemented by NHS staff as required,"Patients will be scheduled and confirmed by IS staff, including pre-assessment and covid swab. ",CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,2,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,301: Gastroenterology,ENDOSCOPY,Service will be wholly staffed by independent sector staff,Service will be supplemented by NHS staff as required,"Patients will be scheduled and confirmed by IS staff, including pre-assessment and covid swab. ",CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,1,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Urgent,Cancer,Routine,Diagnostics,301: Gastroenterology,ENDOSCOPY,Service will be wholly staffed by independent sector staff,Service will be supplemented by NHS staff as required,"Patients will be scheduled and confirmed by IS staff, including pre-assessment and covid swab. ",CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,1,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment  Covid screening swabs will be  carried out by IS .,CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,8,CR9 8AB,51.3823,-0.05635,0
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Shirley Oaks (BMI Healthcare),Urgent,Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,Service will be supplemented by NHS staff as required,Patients will be scheduled and confirmed by NHS staff. Pre-op assessment  Covid screening swabs will be  carried out by IS .,CROYDON HEALTH SERVICES NHS TRUST,03/08/2020,3,CR9 8AB,51.3823,-0.05635,0
Plan,South_East,South_West_London_Health_and_Care_Partnership_STP,Ashtead (Ramsay Health UK),Urgent,Non-Cancer,Routine,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,"Staffed by ESTH surgeon, anaethetist and nursing as required. Swabbing to be completed by IS. Surgeons to be provided flexible job plans to accommodate activity.",Surrey_Heartlands_Health_and_Care_Partnership_STP,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,03/08/2020,1,KT21 2SB,51.30434,-0.30329,0
