Inner or Outer,Plan or Actuals,Activity Type,Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week Commencing Date,Activity Count
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,21
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,15/06/2020,21
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,51
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,15/06/2020,41
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Cancer,15/06/2020,8
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,177
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Non-Cancer,15/06/2020,51
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Daycase,,,Non-Cancer,15/06/2020,0
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Cancer,15/06/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,15/06/2020,97
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,15/06/2020,35
